0.600000 	 0.500000 	 0.492514
0.700000 	 0.400000 	 0.430952
0.800000 	 0.350000 	 0.318395
0.900000 	 0.320000 	 0.309459
1.000000 	 0.350000 	 0.346792
1.100000 	 0.320000 	 0.363610
1.200000 	 0.320000 	 0.337043
1.300000 	 0.300000 	 0.279546
1.400000 	 0.250000 	 0.215166
1.500000 	 0.200000 	 0.161520
1.600000 	 0.100000 	 0.123102
1.700000 	 0.050000 	 0.093808
1.800000 	 0.050000 	 0.063864
1.900000 	 0.000000 	 0.026551
2.000000 	 -0.025000 	 -0.018189
2.100000 	 0.025000 	 -0.064091
2.200000 	 -0.050000 	 -0.101992
2.300000 	 -0.150000 	 -0.124400
2.400000 	 -0.200000 	 -0.129102
2.500000 	 -0.150000 	 -0.120220
2.600000 	 -0.100000 	 -0.106175
2.700000 	 -0.080000 	 -0.095224
2.800000 	 -0.070000 	 -0.090310
2.900000 	 -0.060000 	 -0.085485
3.000000 	 -0.050000 	 -0.065991
3.100000 	 0.000000 	 -0.012998
3.200000 	 0.000000 	 0.087762
3.300000 	 0.200000 	 0.236493
3.400000 	 0.500000 	 0.413906
3.500000 	 0.600000 	 0.585489
3.600000 	 0.700000 	 0.718974
3.700000 	 0.800000 	 0.811686
3.800000 	 0.900000 	 0.910415
3.900000 	 1.100000 	 1.082085
4.000000 	 1.250000 	 1.255044
