##  Table 4 of https://arxiv.org/pdf/1704.06535.pdf
##
##  z|m
-99.	24.0   24.5   25.0   25.5   26.0   26.5
3.8 	6.66   5.29   4.54   4.02   -99.   -99.
4.9	8.47   7.14   6.21   5.59   -99.   -99.
5.9	-99.   -99.   8.88   -99.   -99.   -99.
