##  Table 1 of https://arxiv.org/pdf/1304.7458.pdf
## 
##  z	24.7	24.8	25.3	25.5	26.0	  
3.1 	-99.	 2.2	 2.1	-99.	-99.
3.7	 3.5 	 -99.	 -99.	-99.	-99.
5.7	 -99.	 -99.	 -99.	5.6	 5.1
6.6	 -99.	 -99.	 -99.	6.7	 6.1
