##  Table 3 of https://arxiv.org/pdf/0903.3951.pdf
##
##	    Symmetrical error bounds. 
##
##  z | m   
-99.  	    24.0    24.5    25.0     25.5     26.0    26.5     24.0     24.5    25.0    25.5    26.0    26.5
2.93        -99.    -0.15   -0.06    -0.02     -99.     -99.    -99.    0.15    0.06    0.02    -99.    -99.
3.67  	    -99.    -99.   -0.26    -0.17    -0.10     -99.    -99.     -99.    0.26    0.17    0.10    -99.
4.47 	    -99.    -99.    -99.    -0.23    -0.62    -0.08    -99.     -99.    -99.    0.23    0.62    0.08
