1.000000e-01	5.845587e+03	5.679014e+06	1.149165e+01	1.105544e+01
2.000000e-01	7.001145e+03	1.612254e+07	5.906254e+00	5.701606e+00
3.000000e-01	4.289824e+03	2.620146e+07	5.783100e+00	5.521844e+00
4.000000e-01	3.120855e+03	3.401240e+07	4.816155e+00	4.648207e+00
5.000000e-01	3.310106e+03	3.911118e+07	3.629975e+00	3.574848e+00
6.000000e-01	4.468173e+03	4.170252e+07	2.824311e+00	2.840154e+00
7.000000e-01	9.212194e+03	4.223984e+07	2.629485e+00	2.690352e+00
8.000000e-01	1.095356e+04	4.122867e+07	4.049192e+00	3.922643e+00
9.000000e-01	8.562104e+03	3.913572e+07	4.201078e+00	4.040643e+00
1.000000e+00	6.536002e+03	3.635304e+07	5.947229e+00	5.577046e+00
1.100000e+00	4.680573e+03	3.319021e+07	7.973146e+00	7.395808e+00
1.200000e+00	4.513033e+03	2.987992e+07	8.963602e+00	8.339843e+00
1.300000e+00	3.359397e+03	2.658907e+07	1.073549e+01	9.994596e+00
1.400000e+00	2.101540e+03	2.343117e+07	1.282728e+01	1.195932e+01
1.500000e+00	1.844271e+03	2.047820e+07	1.414638e+01	1.325702e+01
