#z=3.000000, params=smhm_true_med_params.txt.
#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Overall fit chi^2: 99.644200
10.50 7.400995 -3.099005
10.55 7.496981 -3.053019
10.60 7.592960 -3.007040
10.65 7.688929 -2.961071
10.70 7.784886 -2.915114
10.75 7.880829 -2.869171
10.80 7.976755 -2.823245
10.85 8.072659 -2.777341
10.90 8.168538 -2.731462
10.95 8.264385 -2.685615
11.00 8.360195 -2.639805
11.05 8.455958 -2.594042
11.10 8.551668 -2.548332
11.15 8.647312 -2.502688
11.20 8.742881 -2.457119
11.25 8.838360 -2.411640
11.30 8.933736 -2.366264
11.35 9.028994 -2.321006
11.40 9.124115 -2.275885
11.45 9.219082 -2.230918
11.50 9.313871 -2.186129
11.55 9.408455 -2.141545
11.60 9.502802 -2.097198
11.65 9.596863 -2.053137
11.70 9.690577 -2.009423
11.75 9.783855 -1.966145
11.80 9.876579 -1.923421
11.85 9.968587 -1.881413
11.90 10.059666 -1.840334
11.95 10.149545 -1.800455
12.00 10.237888 -1.762112
12.05 10.324294 -1.725706
12.10 10.408303 -1.691697
12.15 10.489407 -1.660593
12.20 10.567070 -1.632930
12.25 10.640757 -1.609243
12.30 10.709964 -1.590036
12.35 10.774257 -1.575743
12.40 10.833303 -1.566697
12.45 10.886896 -1.563104
12.50 10.934980 -1.565020
12.55 10.977648 -1.572352
12.60 11.015139 -1.584861
12.65 11.047812 -1.602188
12.70 11.076124 -1.623876
12.75 11.100587 -1.649413
12.80 11.121740 -1.678260
12.85 11.140115 -1.709885
12.90 11.156209 -1.743791
12.95 11.170470 -1.779530
13.00 11.183282 -1.816718
13.05 11.194966 -1.855034
13.10 11.205777 -1.894223
13.15 11.215916 -1.934084
13.20 11.225533 -1.974467
13.25 11.234739 -2.015261
13.30 11.243614 -2.056386
13.35 11.252216 -2.097784
13.40 11.260590 -2.139410
13.45 11.268766 -2.181234
