#z=4.000000, params=smhm_true_med_params.txt.
#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Overall fit chi^2: 99.644200
10.50 7.515630 -2.984370
10.55 7.610271 -2.939729
10.60 7.704908 -2.895092
10.65 7.799539 -2.850461
10.70 7.894164 -2.805836
10.75 7.988781 -2.761219
10.80 8.083387 -2.716613
10.85 8.177980 -2.672020
10.90 8.272558 -2.627442
10.95 8.367115 -2.582885
11.00 8.461649 -2.538351
11.05 8.556152 -2.493848
11.10 8.650618 -2.449382
11.15 8.745038 -2.404962
11.20 8.839401 -2.360599
11.25 8.933694 -2.316306
11.30 9.027902 -2.272098
11.35 9.122006 -2.227994
11.40 9.215981 -2.184019
11.45 9.309800 -2.140200
11.50 9.403428 -2.096572
11.55 9.496822 -2.053178
11.60 9.589929 -2.010071
11.65 9.682682 -1.967318
11.70 9.775000 -1.925000
11.75 9.866779 -1.883221
11.80 9.957890 -1.842110
11.85 10.048172 -1.801828
11.90 10.137428 -1.762572
11.95 10.225417 -1.724583
12.00 10.311849 -1.688151
12.05 10.396385 -1.653615
12.10 10.478633 -1.621367
12.15 10.558157 -1.591843
12.20 10.634486 -1.565514
12.25 10.707129 -1.542871
12.30 10.775602 -1.524398
12.35 10.839454 -1.510546
12.40 10.898301 -1.501699
12.45 10.951856 -1.498144
12.50 10.999954 -1.500046
12.55 11.042564 -1.507436
12.60 11.079799 -1.520201
12.65 11.111900 -1.538100
12.70 11.139213 -1.560787
12.75 11.162167 -1.587833
12.80 11.181237 -1.618763
12.85 11.196912 -1.653088
12.90 11.209675 -1.690325
12.95 11.219977 -1.730023
13.00 11.228231 -1.771769
13.05 11.234795 -1.815205
13.10 11.239981 -1.860019
