#z=2.000000, params=smhm_true_med_params.txt.
#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Overall fit chi^2: 99.644200
10.50 7.326429 -3.173571
10.55 7.425249 -3.124751
10.60 7.524053 -3.075947
10.65 7.622837 -3.027163
10.70 7.721598 -2.978402
10.75 7.820330 -2.929670
10.80 7.919029 -2.880971
10.85 8.017689 -2.832311
10.90 8.116304 -2.783696
10.95 8.214867 -2.735133
11.00 8.313373 -2.686627
11.05 8.411817 -2.638183
11.10 8.510198 -2.589802
11.15 8.608518 -2.541482
11.20 8.706784 -2.493216
11.25 8.805014 -2.444986
11.30 8.903233 -2.396767
11.35 9.001476 -2.348524
11.40 9.099790 -2.300210
11.45 9.198232 -2.251768
11.50 9.296861 -2.203139
11.55 9.395729 -2.154271
11.60 9.494876 -2.105124
11.65 9.594302 -2.055698
11.70 9.693956 -2.006044
11.75 9.793709 -1.956291
11.80 9.893332 -1.906668
11.85 9.992478 -1.857522
11.90 10.090671 -1.809329
11.95 10.187303 -1.762697
12.00 10.281647 -1.718353
12.05 10.372882 -1.677118
12.10 10.460141 -1.639859
12.15 10.542560 -1.607440
12.20 10.619339 -1.580661
12.25 10.689814 -1.560186
12.30 10.753502 -1.546498
12.35 10.810154 -1.539846
12.40 10.859769 -1.540231
12.45 10.902601 -1.547399
12.50 10.939131 -1.560869
12.55 10.970029 -1.579971
12.60 10.996092 -1.603908
12.65 11.018184 -1.631816
12.70 11.037175 -1.662825
12.75 11.053883 -1.696117
12.80 11.069034 -1.730966
12.85 11.083236 -1.766764
12.90 11.096965 -1.803035
12.95 11.110566 -1.839434
13.00 11.124267 -1.875733
13.05 11.138196 -1.911804
13.10 11.152405 -1.947595
13.15 11.166892 -1.983108
13.20 11.181618 -2.018382
13.25 11.196531 -2.053469
13.30 11.211570 -2.088430
13.35 11.226681 -2.123319
13.40 11.241816 -2.158184
13.45 11.256940 -2.193060
13.50 11.272026 -2.227974
13.55 11.287059 -2.262941
13.60 11.302031 -2.297969
13.65 11.316940 -2.333060
13.70 11.331787 -2.368213
13.75 11.346577 -2.403423
13.80 11.361316 -2.438684
