##  z    sig8    sig8_err    fsig8    fsig8_err
    2.0  0.3362  0.0040      0.3222   0.0037  
    3.0	 0.2545  0.0030      0.2499   0.0029
    4.0	 0.2045  0.0024      0.2025   0.0023
    5.0	 0.1708  0.0020	     0.1698   0.0020  

