1.0000e+02	1.2589e+03	5.2763e+01	4.9788e+01
1.0000e+02	7.9433e+03	4.0964e+01	3.8573e+01
1.0000e+02	5.0119e+04	3.6051e+01	3.4171e+01
1.0000e+02	3.1623e+05	3.4439e+01	3.2746e+01
1.0000e+02	1.9953e+06	3.4097e+01	3.2443e+01
1.0000e+02	1.2589e+07	3.4039e+01	3.2392e+01
4.6416e+02	1.2589e+03	2.4491e+01	2.1708e+01
4.6416e+02	7.9433e+03	1.9014e+01	1.6085e+01
4.6416e+02	5.0119e+04	1.6733e+01	1.4254e+01
4.6416e+02	3.1623e+05	1.5985e+01	1.3707e+01
4.6416e+02	1.9953e+06	1.5827e+01	1.3592e+01
4.6416e+02	1.2589e+07	1.5800e+01	1.3573e+01
2.1544e+03	1.2589e+03	1.1368e+01	1.0925e+01
2.1544e+03	7.9433e+03	8.8255e+00	6.7989e+00
2.1544e+03	5.0119e+04	7.7669e+00	5.7062e+00
2.1544e+03	3.1623e+05	7.4198e+00	5.4444e+00
2.1544e+03	1.9953e+06	7.3460e+00	5.3938e+00
2.1544e+03	1.2589e+07	7.3336e+00	5.3854e+00
1.0000e+04	1.2589e+03	5.2763e+00	7.2542e+00
1.0000e+04	7.9433e+03	4.0964e+00	3.5329e+00
1.0000e+04	5.0119e+04	3.6051e+00	2.4473e+00
1.0000e+04	3.1623e+05	3.4439e+00	2.2089e+00
1.0000e+04	1.9953e+06	3.4097e+00	2.1661e+00
1.0000e+04	1.2589e+07	3.4039e+00	2.1591e+00
4.6416e+04	1.2589e+03	2.4491e+00	5.8715e+00
4.6416e+04	7.9433e+03	1.9014e+00	2.4793e+00
4.6416e+04	5.0119e+04	1.6733e+00	1.2901e+00
4.6416e+04	3.1623e+05	1.5985e+00	9.7360e-01
4.6416e+04	1.9953e+06	1.5827e+00	9.1251e-01
4.6416e+04	1.2589e+07	1.5800e+00	9.0239e-01
2.1544e+05	1.2589e+03	1.1368e+00	5.2887e+00
2.1544e+05	7.9433e+03	8.8255e-01	2.1334e+00
2.1544e+05	5.0119e+04	7.7669e-01	9.2210e-01
2.1544e+05	3.1623e+05	7.4198e-01	5.1374e-01
2.1544e+05	1.9953e+06	7.3460e-01	4.1347e-01
2.1544e+05	1.2589e+07	7.3336e-01	3.9523e-01
1.0000e+06	1.2589e+03	5.2763e-01	5.0749e+00
1.0000e+06	7.9433e+03	4.0964e-01	2.0243e+00
1.0000e+06	5.0119e+04	3.6051e-01	8.2127e-01
1.0000e+06	3.1623e+05	3.4439e-01	3.6390e-01
1.0000e+06	1.9953e+06	3.4097e-01	2.1628e-01
1.0000e+06	1.2589e+07	3.4039e-01	1.8245e-01
