    2       1.450012429266e-10       7.018233936143e-15       4.475427556212e-13       0.000000000000e+00       8.097268554826e-09       4.848285066394e-10      -2.378468345278e-12 
    3       1.359053479797e-10       1.178172280452e-14       5.661637958189e-13       0.000000000000e+00       4.998317681244e-09       3.440615417378e-10      -2.085726303051e-12 
    4       1.272128449254e-10       1.360206018166e-14       5.858427843229e-13       0.000000000000e+00       3.475357012661e-09       2.610956298627e-10      -1.654412079922e-12 
    5       1.204149953427e-10       1.241469888578e-14       5.478333297517e-13       0.000000000000e+00       2.593178235864e-09       2.067348156273e-10      -1.217597431114e-12 
    6       1.154285698426e-10       9.437055016901e-15       4.808368179964e-13       0.000000000000e+00       2.025756639572e-09       1.685792236291e-10      -8.213517263725e-13 
    7       1.119381614390e-10       6.156748967537e-15       4.043610564170e-13       0.000000000000e+00       1.634672356205e-09       1.404727784825e-10      -4.889593068813e-13 
    8       1.095766497662e-10       3.594737278097e-15       3.302248679762e-13       0.000000000000e+00       1.351383770877e-09       1.190138090616e-10      -2.304043779802e-13 
    9       1.081183748726e-10       2.085468111790e-15       2.653335642525e-13       0.000000000000e+00       1.138392793715e-09       1.022081722885e-10      -4.660224929692e-14 
   10       1.073766373028e-10       1.439452048632e-15       2.132970468338e-13       0.000000000000e+00       9.733863347397e-10       8.880282824466e-11       6.836559428733e-14 
   11       1.071627663706e-10       1.258730838381e-15       1.755699865505e-13       0.000000000000e+00       8.205598156082e-10       7.813684564250e-11       1.244283774540e-13 
   12       1.073215122668e-10       1.202695889772e-15       1.519092257861e-13       0.000000000000e+00       7.170162481393e-10       6.917161934371e-11       1.368970265214e-13 
   13       1.078443490099e-10       1.106538232223e-15       1.404951515213e-13       0.000000000000e+00       6.320060951241e-10       6.147369874155e-11       1.181538009380e-13 
   14       1.086189963428e-10       9.621760602319e-16       1.385911608990e-13       0.000000000000e+00       5.612673585248e-10       5.517319091580e-11       8.214622861343e-14 
   15       1.095711596972e-10       8.319888968601e-16       1.432879033184e-13       0.000000000000e+00       5.017265113100e-10       4.991779818188e-11       3.987726687169e-14 
   16       1.107233202998e-10       7.685138804732e-16       1.517577928963e-13       0.000000000000e+00       4.511009881168e-10       4.529386922272e-11      -2.934288688270e-16 
   17       1.119954893038e-10       7.788932081002e-16       1.616451991314e-13       0.000000000000e+00       4.076675693988e-10       4.123997589736e-11      -3.244322931249e-14 
   18       1.133656377525e-10       8.309849695458e-16       1.712819833957e-13       0.000000000000e+00       3.699669182268e-10       3.770460550806e-11      -5.354021785735e-14 
   19       1.148564735271e-10       8.953516791309e-16       1.798507607864e-13       0.000000000000e+00       3.374029325407e-10       3.464720325074e-11      -6.319270857421e-14 
   20       1.164387330432e-10       9.451397405126e-16       1.867720987433e-13       0.000000000000e+00       3.087214763350e-10       3.195192848623e-11      -6.273903914517e-14 
   21       1.180998499908e-10       9.878535222315e-16       1.921908904584e-13       0.000000000000e+00       2.834724577361e-10       2.954676207463e-11      -5.456350589496e-14 
   22       1.198041435296e-10       1.044921410677e-15       1.965954232434e-13       0.000000000000e+00       2.610520900757e-10       2.734338385690e-11      -4.210616638600e-14 
   23       1.215612623609e-10       1.133141345139e-15       2.004744163466e-13       0.000000000000e+00       2.411524429601e-10       2.535709041478e-11      -2.816287083699e-14 
   24       1.233738207148e-10       1.266236629411e-15       2.043673715182e-13       0.000000000000e+00       2.233137836285e-10       2.360708014774e-11      -1.555023060201e-14 
   25       1.252389413935e-10       1.442048973671e-15       2.086742413796e-13       0.000000000000e+00       2.073260495724e-10       2.205456600618e-11      -5.909619234455e-15 
   26       1.271379831482e-10       1.652110293966e-15       2.137050348785e-13       0.000000000000e+00       1.928996656994e-10       2.062975788184e-11      -3.626775347064e-16 
   27       1.290703033745e-10       1.891362677846e-15       2.194291092946e-13       0.000000000000e+00       1.798624490406e-10       1.932025630902e-11       1.116258130329e-15 
   28       1.310317741881e-10       2.155572449719e-15       2.256363221358e-13       0.000000000000e+00       1.679907686439e-10       1.812247664901e-11      -8.564960452416e-16 
   29       1.330298306381e-10       2.444347893464e-15       2.320002055660e-13       0.000000000000e+00       1.572238927565e-10       1.703528829274e-11      -5.340093826600e-15 
   30       1.350638861107e-10       2.758323985091e-15       2.380637203438e-13       0.000000000000e+00       1.474456129201e-10       1.604791447883e-11      -1.099428724486e-14 
   31       1.371234736989e-10       3.097577759990e-15       2.432993659304e-13       0.000000000000e+00       1.384559127648e-10       1.514080047550e-11      -1.630670836840e-14 
   32       1.392127207498e-10       3.460183375881e-15       2.473547826559e-13       0.000000000000e+00       1.302085704892e-10       1.430818600241e-11      -2.054257167919e-14 
   33       1.413325303161e-10       3.843028924977e-15       2.498899658401e-13       0.000000000000e+00       1.226457855822e-10       1.354222812279e-11      -2.313134414596e-14 
   34       1.434775548838e-10       4.243614084570e-15       2.505906101344e-13       0.000000000000e+00       1.156622531149e-10       1.283031030825e-11      -2.359740591868e-14 
   35       1.456522088779e-10       4.665207246158e-15       2.494475505691e-13       0.000000000000e+00       1.092222414952e-10       1.216901327051e-11      -2.218768472180e-14 
   36       1.478586436885e-10       5.113576417478e-15       2.465789677896e-13       0.000000000000e+00       1.032739198225e-10       1.155406281563e-11      -1.947817206149e-14 
   37       1.500940191142e-10       5.594538426918e-15       2.421412619372e-13       0.000000000000e+00       9.773971309750e-11       1.097868108563e-11      -1.613231572157e-14 
   38       1.523584598288e-10       6.109913854310e-15       2.362610868658e-13       0.000000000000e+00       9.260533469055e-11       1.044215846471e-11      -1.259443051112e-14 
